Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
10.579;270;;270rounds;Yes;No;4;0.35714;0.88765;0.12109;0.53823;2.48087;AgentW@152;Group19@153;AgentBuyogMain@154;Atlas3@155;0.5;0.8876502526916925;0.7360753415393663;0.35714255;0.5;0.8876502526916925;0.7360753415393663;0.35714255;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.773;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBuyogMain@156;Group19@157;AgentW@158;Atlas3@159;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
14.678;257;;270rounds;Yes;No;4;0.49720;0.92857;0.00000;0.38758;2.97734;Group19@160;AgentW@161;AgentBuyogMain@162;Atlas3@163;0.7758333333333333;0.4971985043305238;0.7757342450193954;0.9285706;0.7758333333333333;0.4971985043305238;0.7757342450193954;0.9285706;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
17.720;269;;270rounds;Yes;No;4;0.71602;0.80211;0.00000;0.18684;3.00729;Atlas3@164;AgentW@165;AgentBuyogMain@166;Group19@167;0.7391666666666666;0.7160194082249517;0.8021067128417655;0.74999935;0.7391666666666666;0.7160194082249517;0.8021067128417655;0.74999935;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
16.901;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentW@168;Atlas3@169;AgentBuyogMain@170;Group19@171;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
16.462;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBuyogMain@172;Atlas3@173;AgentW@174;Group19@175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.936;187;;270rounds;Yes;No;4;0.64286;0.92857;0.00000;0.16661;3.07408;Group19@176;AgentBuyogMain@177;AgentW@178;Atlas3@179;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
18.039;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;Atlas3@180;AgentBuyogMain@181;AgentW@182;Group19@183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
16.084;270;;270rounds;Yes;No;4;0.53222;0.85714;0.00000;0.38929;2.89102;AgentW@184;AgentBuyogMain@185;Atlas3@186;Group19@187;0.66;0.532221966822035;0.8416562111414515;0.8571420750000001;0.66;0.532221966822035;0.8416562111414515;0.8571420750000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.618;191;;270rounds;Yes;No;4;0.58804;0.94167;0.00000;0.23543;2.99353;AgentBuyogMain@188;AgentW@189;Atlas3@190;Group19@191;0.9416666666666667;0.6662075599338653;0.5880388799197717;0.79761835;0.9416666666666667;0.6662075599338653;0.5880388799197717;0.79761835;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
16.246;271;;270rounds;Yes;No;4;0.14979;0.88583;0.00000;0.69781;2.62970;Group19@192;Atlas3@193;AgentW@194;AgentBuyogMain@195;0.8858333333333334;0.1497926275810349;0.7369366077045301;0.8571420250000001;0.8858333333333334;0.1497926275810349;0.7369366077045301;0.8571420250000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.090;271;;270rounds;Yes;No;4;0.61583;0.79353;0.08636;0.28249;2.81654;Atlas3@196;Group19@197;AgentW@198;AgentBuyogMain@199;0.6158333333333333;0.7047964061501943;0.793532840191558;0.7023803500000001;0.6158333333333333;0.7047964061501943;0.793532840191558;0.7023803500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.609;270;;270rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;AgentW@200;Group19@201;Atlas3@202;AgentBuyogMain@203;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
