Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
24.128;270;;270rounds;Yes;No;4;0.54762;0.89253;0.00000;0.26054;2.89630;AgentW@112;Group19@113;AgentBuyogMain@114;Atlas3@115;0.7216666666666667;0.892528230487994;0.7344889447415774;0.5476186000000001;0.7216666666666667;0.892528230487994;0.7344889447415774;0.5476186000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
21.524;269;;270rounds;Yes;No;4;0.48809;0.90721;0.00000;0.40999;2.67699;AgentBuyogMain@116;Group19@117;AgentW@118;Atlas3@119;0.5508333333333333;0.9072107560432943;0.7308463448040173;0.4880948;0.5508333333333333;0.9072107560432943;0.7308463448040173;0.4880948;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
24.561;271;;270rounds;No;No;3;0.00000;0.00000;1.36280;1.58071;0.00000;Group19@120;AgentBuyogMain@121;AgentW@122;Atlas3@123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
24.860;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;Atlas3@124;AgentBuyogMain@125;AgentW@126;Group19@127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
20.220;219;;270rounds;Yes;No;4;0.47269;0.96428;0.00000;0.44913;2.97044;AgentW@128;Atlas3@129;AgentBuyogMain@130;Group19@131;0.7091666666666666;0.4726898386286933;0.8242987549097534;0.9642848500000001;0.7091666666666666;0.4726898386286933;0.8242987549097534;0.9642848500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
25.003;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBuyogMain@132;Atlas3@133;AgentW@134;Group19@135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
20.030;271;;270rounds;Yes;No;4;0.19881;0.95250;0.00000;0.65190;2.64968;Group19@136;Atlas3@137;AgentW@138;AgentBuyogMain@139;0.9525;0.1988099589846959;0.7126543527593511;0.7857135250000001;0.9525;0.1988099589846959;0.7126543527593511;0.7857135250000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.869;270;;270rounds;Yes;No;4;0.58333;0.87605;0.00000;0.23536;2.91464;Atlas3@140;Group19@141;AgentW@142;AgentBuyogMain@143;0.7091666666666666;0.8760514919327387;0.7460922880531652;0.5833328500000001;0.7091666666666666;0.8760514919327387;0.7460922880531652;0.5833328500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
13.157;269;;270rounds;Yes;No;4;0.68524;0.85714;0.00000;0.19677;3.03723;AgentW@144;AgentBuyogMain@145;Atlas3@146;Group19@147;0.755;0.6852359027985925;0.7398486467626286;0.8571421000000001;0.755;0.6852359027985925;0.7398486467626286;0.8571421000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
13.042;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBuyogMain@148;AgentW@149;Atlas3@150;Group19@151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.121;241;;270rounds;Yes;No;4;0.49230;0.90333;0.14097;0.40553;2.67599;Group19@152;AgentW@153;Atlas3@154;AgentBuyogMain@155;0.9033333333333333;0.4922982064725194;0.5065507564167631;0.77380885;0.9033333333333333;0.4922982064725194;0.5065507564167631;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
18.752;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;Atlas3@156;AgentW@157;Group19@158;AgentBuyogMain@159;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.095;270;;270rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;AgentW@160;Group19@161;Atlas3@162;AgentBuyogMain@163;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
18.766;271;;270rounds;No;No;3;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBuyogMain@164;Group19@165;Atlas3@166;AgentW@167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
22.689;271;;270rounds;No;No;3;0.00000;0.00000;1.36280;1.58071;0.00000;Group19@168;AgentBuyogMain@169;Atlas3@170;AgentW@171;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
26.452;269;;270rounds;Yes;No;4;0.42417;0.93398;0.09438;0.61540;2.49295;Atlas3@172;AgentBuyogMain@173;Group19@174;AgentW@175;0.4241666666666666;0.456226084335816;0.9339830009124418;0.6785708000000001;0.4241666666666666;0.456226084335816;0.9339830009124418;0.6785708000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
